in s,C2 in V
7.58399680E-02,6.8264048E-01
7.58402720E-02,6.8318293E-01
7.58405760E-02,6.8366510E-01
7.58408800E-02,6.8294184E-01
7.58411840E-02,6.8456919E-01
7.58414880E-02,6.8414728E-01
7.58417920E-02,6.8245966E-01
7.58420960E-02,6.8414728E-01
7.58424000E-02,6.8450891E-01
7.58427040E-02,6.8481028E-01
7.58430080E-02,6.8553354E-01
7.58433120E-02,6.8462946E-01
7.58436160E-02,6.8529245E-01
7.58439200E-02,6.8517191E-01
7.58442240E-02,6.8324320E-01
7.58445280E-02,6.8215830E-01
7.58448320E-02,6.8173639E-01
7.58451360E-02,6.8402674E-01
7.58454400E-02,6.8288156E-01
7.58457440E-02,6.8306238E-01
7.58460480E-02,6.8258020E-01
7.58463520E-02,6.8354456E-01
7.58466560E-02,6.8342401E-01
7.58469600E-02,6.8324320E-01
7.58472640E-02,6.8396646E-01
7.58475680E-02,6.8264048E-01
7.58478720E-02,6.8390619E-01
7.58481760E-02,6.8577463E-01
7.58484800E-02,6.8589518E-01
7.58487840E-02,6.8577463E-01
7.58490880E-02,6.8607599E-01
7.58493920E-02,6.8571436E-01
7.58496960E-02,6.8583490E-01
7.58500000E-02,6.8716089E-01
7.58503040E-02,6.8487055E-01
7.58506080E-02,6.8547327E-01
7.58509120E-02,6.8499109E-01
7.58512160E-02,6.8408701E-01
7.58515200E-02,6.8414728E-01
7.58518240E-02,6.8673899E-01
7.58521280E-02,6.8450891E-01
7.58524320E-02,6.8475000E-01
7.58527360E-02,6.8396646E-01
7.58530400E-02,6.8420755E-01
7.58533440E-02,6.8324320E-01
7.58536480E-02,6.8372538E-01
7.58539520E-02,6.8414728E-01
7.58542560E-02,6.8270075E-01
7.58545600E-02,6.8348429E-01
7.58548640E-02,6.8270075E-01
7.58551680E-02,6.8589518E-01
7.58554720E-02,6.8414728E-01
7.58557760E-02,6.8300211E-01
7.58560800E-02,6.8432810E-01
7.58563840E-02,6.8390619E-01
7.58566880E-02,6.8481028E-01
7.58569920E-02,6.8505136E-01
7.58572960E-02,6.8432810E-01
7.58576000E-02,6.8487055E-01
7.58579040E-02,6.8462946E-01
7.58582080E-02,6.8306238E-01
7.58585120E-02,6.8258020E-01
7.58588160E-02,6.8336374E-01
7.58591200E-02,6.8643763E-01
7.58594240E-02,6.8553354E-01
7.58597280E-02,6.8444864E-01
7.58600320E-02,6.8607599E-01
7.58603360E-02,6.8577463E-01
7.58606400E-02,6.8487055E-01
