in s,C2 in V
2.91550074E-01,7.1834564E-01
2.91550534E-01,7.1659088E-01
2.91550995E-01,7.1613312E-01
2.91551456E-01,7.1605682E-01
2.91551917E-01,7.1643829E-01
2.91552378E-01,7.1582794E-01
2.91552838E-01,7.1697235E-01
2.91553299E-01,7.1743011E-01
2.91553760E-01,7.1651459E-01
2.91554221E-01,7.1453094E-01
2.91554682E-01,7.1910858E-01
2.91555142E-01,7.1643829E-01
2.91555603E-01,7.1727753E-01
2.91556064E-01,7.1918488E-01
2.91556525E-01,7.1773529E-01
2.91556986E-01,7.1857452E-01
2.91557446E-01,7.1895599E-01
2.91557907E-01,7.1788788E-01
2.91558368E-01,7.1994781E-01
2.91558829E-01,7.1765900E-01
2.91559290E-01,7.1887970E-01
2.91559750E-01,7.1971893E-01
2.91560211E-01,7.2002411E-01
2.91560672E-01,7.2010040E-01
2.91561133E-01,7.2002411E-01
2.91561594E-01,7.1918488E-01
2.91562054E-01,7.2017670E-01
2.91562515E-01,7.2040558E-01
2.91562976E-01,7.2284698E-01
2.91563437E-01,7.2055817E-01
2.91563898E-01,7.1971893E-01
2.91564358E-01,7.2223663E-01
2.91564819E-01,7.2216034E-01
2.91565280E-01,7.2055817E-01
2.91565741E-01,7.2048187E-01
2.91566202E-01,7.1926117E-01
2.91566662E-01,7.1941376E-01
2.91567123E-01,7.1941376E-01
2.91567584E-01,7.1834564E-01
2.91568045E-01,7.1971893E-01
2.91568506E-01,7.1796417E-01
2.91568966E-01,7.1826935E-01
2.91569427E-01,7.1826935E-01
2.91569888E-01,7.2032928E-01
2.91570349E-01,7.2055817E-01
2.91570810E-01,7.1872711E-01
2.91571270E-01,7.2116852E-01
2.91571731E-01,7.1887970E-01
2.91572192E-01,7.1926117E-01
2.91572653E-01,7.1971893E-01
2.91573114E-01,7.1857452E-01
2.91573574E-01,7.1895599E-01
2.91574035E-01,7.1933746E-01
2.91574496E-01,7.1987152E-01
2.91574957E-01,7.1819305E-01
2.91575418E-01,7.1910858E-01
2.91575878E-01,7.1872711E-01
2.91576339E-01,7.1903229E-01
2.91576800E-01,7.1933746E-01
2.91577261E-01,7.2109222E-01
2.91577722E-01,7.2231293E-01
2.91578182E-01,7.2071075E-01
2.91578643E-01,7.2032928E-01
2.91579104E-01,7.1987152E-01
2.91579565E-01,7.1910858E-01
2.91580026E-01,7.2124481E-01
2.91580486E-01,7.2093964E-01
2.91580947E-01,7.2200775E-01
2.91581408E-01,7.2292328E-01
2.91581869E-01,7.2536469E-01
2.91582330E-01,7.2536469E-01
2.91582790E-01,7.2376251E-01
2.91583251E-01,7.2360992E-01
2.91583712E-01,7.2307587E-01
2.91584173E-01,7.2093964E-01
2.91584634E-01,7.2330475E-01
2.91585094E-01,7.2246552E-01
2.91585555E-01,7.2452545E-01
2.91586016E-01,7.2360992E-01
2.91586477E-01,7.2322845E-01
2.91586938E-01,7.2216034E-01
2.91587398E-01,7.2269440E-01
2.91587859E-01,7.2116852E-01
2.91588320E-01,7.2330475E-01
2.91588781E-01,7.2200775E-01
2.91589242E-01,7.2330475E-01
2.91589702E-01,7.2322845E-01
2.91590163E-01,7.2368622E-01
2.91590624E-01,7.2315216E-01
2.91591085E-01,7.2086334E-01
2.91591546E-01,7.2032928E-01
2.91592006E-01,7.2101593E-01
2.91592467E-01,7.2071075E-01
2.91592928E-01,7.2269440E-01
2.91593389E-01,7.2223663E-01
2.91593850E-01,7.2154999E-01
2.91594310E-01,7.2544098E-01
2.91594771E-01,7.2338104E-01
2.91595232E-01,7.2353363E-01
2.91595693E-01,7.2299957E-01
2.91596154E-01,7.2032928E-01
2.91596614E-01,7.2177887E-01
2.91597075E-01,7.2109222E-01
2.91597536E-01,7.2139740E-01
2.91597997E-01,7.2322845E-01
2.91598458E-01,7.2467804E-01
2.91598918E-01,7.2139740E-01
2.91599379E-01,7.2360992E-01
2.91599840E-01,7.2406769E-01
2.91600301E-01,7.2505951E-01
2.91600762E-01,7.2582245E-01
2.91601222E-01,7.2612762E-01
2.91601683E-01,7.2345734E-01
2.91602144E-01,7.2254181E-01
2.91602605E-01,7.2612762E-01
2.91603066E-01,7.2261810E-01
2.91603526E-01,7.2452545E-01
2.91603987E-01,7.2513580E-01
2.91604448E-01,7.2422028E-01
2.91604909E-01,7.2376251E-01
2.91605370E-01,7.2315216E-01
2.91605830E-01,7.2742462E-01
2.91606291E-01,7.2521210E-01
2.91606752E-01,7.2551727E-01
2.91607213E-01,7.2444916E-01
2.91607674E-01,7.2483063E-01
2.91608134E-01,7.2414398E-01
2.91608595E-01,7.2505951E-01
2.91609056E-01,7.2811127E-01
2.91609517E-01,7.2719574E-01
2.91609978E-01,7.2650909E-01
2.91610438E-01,7.2406769E-01
2.91610899E-01,7.2605133E-01
2.91611360E-01,7.2589874E-01
2.91611821E-01,7.2544098E-01
2.91612282E-01,7.2803497E-01
2.91612742E-01,7.2795868E-01
2.91613203E-01,7.2742462E-01
2.91613664E-01,7.2483063E-01
2.91614125E-01,7.2597504E-01
2.91614586E-01,7.2589874E-01
2.91615046E-01,7.2788239E-01
2.91615507E-01,7.2994232E-01
2.91615968E-01,7.2643280E-01
2.91616429E-01,7.2933197E-01
2.91616890E-01,7.2818756E-01
2.91617350E-01,7.2940826E-01
2.91617811E-01,7.2994232E-01
2.91618272E-01,7.3123932E-01
2.91618733E-01,7.2650909E-01
2.91619194E-01,7.2856903E-01
2.91619654E-01,7.2597504E-01
2.91620115E-01,7.2650909E-01
2.91620576E-01,7.2780609E-01
2.91621037E-01,7.2910309E-01
2.91621498E-01,7.2841644E-01
2.91621958E-01,7.2650909E-01
2.91622419E-01,7.2963715E-01
2.91622880E-01,7.3047638E-01
2.91623341E-01,7.2917938E-01
2.91623802E-01,7.3261261E-01
2.91624262E-01,7.3246002E-01
2.91624723E-01,7.3261261E-01
2.91625184E-01,7.3207855E-01
2.91625645E-01,7.3390961E-01
2.91626106E-01,7.3322296E-01
2.91626566E-01,7.3207855E-01
2.91627027E-01,7.3131561E-01
2.91627488E-01,7.3314667E-01
2.91627949E-01,7.3169708E-01
2.91628410E-01,7.3108673E-01
2.91628870E-01,7.3062897E-01
2.91629331E-01,7.3345184E-01
2.91629792E-01,7.3192596E-01
2.91630253E-01,7.3497772E-01
2.91630714E-01,7.3360443E-01
2.91631174E-01,7.3253632E-01
2.91631635E-01,7.3093414E-01
2.91632096E-01,7.3474884E-01
2.91632557E-01,7.3329926E-01
2.91633018E-01,7.3268890E-01
2.91633478E-01,7.3085785E-01
2.91633939E-01,7.2971344E-01
2.91634400E-01,7.3184967E-01
2.91634861E-01,7.3589325E-01
2.91635322E-01,7.3291779E-01
2.91635782E-01,7.3558807E-01
2.91636243E-01,7.3482513E-01
2.91636704E-01,7.3284149E-01
2.91637165E-01,7.3596954E-01
2.91637626E-01,7.3696136E-01
2.91638086E-01,7.3329926E-01
2.91638547E-01,7.3047638E-01
2.91639008E-01,7.3268890E-01
2.91639469E-01,7.3108673E-01
2.91639930E-01,7.3474884E-01
2.91640390E-01,7.3490143E-01
2.91640851E-01,7.3635101E-01
2.91641312E-01,7.3436737E-01
