in s,C2 in V
2.3967968E-02,7.6304223E-01
2.3968272E-02,7.6389306E-01
2.3968576E-02,7.6549462E-01
2.3968880E-02,7.6289208E-01
2.3969184E-02,7.6329248E-01
2.3969488E-02,7.6399316E-01
2.3969792E-02,7.6364282E-01
2.3970096E-02,7.6309228E-01
2.3970400E-02,7.6309228E-01
2.3970704E-02,7.6289208E-01
2.3971008E-02,7.6199121E-01
2.3971312E-02,7.6179101E-01
2.3971616E-02,7.6344262E-01
2.3971920E-02,7.6324243E-01
2.3972224E-02,7.6314233E-01
2.3972528E-02,7.6444360E-01
2.3972832E-02,7.6344262E-01
2.3973136E-02,7.6184106E-01
2.3973440E-02,7.6444360E-01
2.3973744E-02,7.6434350E-01
2.3974048E-02,7.6569482E-01
2.3974352E-02,7.6419335E-01
2.3974656E-02,7.6414331E-01
2.3974960E-02,7.6399316E-01
2.3975264E-02,7.6419335E-01
2.3975568E-02,7.6324243E-01
2.3975872E-02,7.6339257E-01
2.3976176E-02,7.6404321E-01
2.3976480E-02,7.6319238E-01
2.3976784E-02,7.6289208E-01
2.3977088E-02,7.6324243E-01
2.3977392E-02,7.6419335E-01
2.3977696E-02,7.6349267E-01
2.3978000E-02,7.6174096E-01
2.3978304E-02,7.6409326E-01
2.3978608E-02,7.6369287E-01
2.3978912E-02,7.6529443E-01
2.3979216E-02,7.6379296E-01
2.3979520E-02,7.6499414E-01
2.3979824E-02,7.6344262E-01
2.3980128E-02,7.6489404E-01
2.3980432E-02,7.6559472E-01
2.3980736E-02,7.6579492E-01
2.3981040E-02,7.6559472E-01
2.3981344E-02,7.6444360E-01
2.3981648E-02,7.6459375E-01
2.3981952E-02,7.6259179E-01
2.3982256E-02,7.6274194E-01
2.3982560E-02,7.6289208E-01
2.3982864E-02,7.6329248E-01
2.3983168E-02,7.6394311E-01
2.3983472E-02,7.6274194E-01
2.3983776E-02,7.6334252E-01
2.3984080E-02,7.6249169E-01
2.3984384E-02,7.6539453E-01
2.3984688E-02,7.6409326E-01
